Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID
32780,,Spot,1,Image 1,3,1001109441,1123741
25280,,Spot,1,Image 1,3,1001109487,1123786
25624,,Spot,1,Image 1,3,1001109538,1123828
24584,,Spot,1,Image 1,3,1001116942,1123989
26988,,Spot,1,Image 1,3,1001110105,1124348
31304,,Spot,1,Image 1,3,1001111580,1125726
31972,,Spot,1,Image 1,3,1001112749,1126883
29528,,Spot,1,Image 1,3,1001113839,1127923
43976,,Spot,1,Image 1,3,1001113852,1127937
30528,,Spot,1,Image 1,3,1001113875,1127962
27044,,Spot,1,Image 1,3,1001113909,1127996
37960,,Spot,1,Image 1,3,1001113935,1128025
32840,,Spot,1,Image 1,3,1001113998,1128083
28592,,Spot,1,Image 1,3,1001128123,1128123
32968,,Spot,1,Image 1,3,1001114033,1128127
34508,,Spot,1,Image 1,3,1001114155,1128249
37276,,Spot,1,Image 1,3,1001114212,1128304
29984,,Spot,1,Image 1,3,1001114228,1128316
34656,,Spot,1,Image 1,3,1001121359,1128344
28664,,Spot,1,Image 1,3,1001114259,1128348
31248,,Spot,1,Image 1,3,1001114859,1128904
37288,,Spot,1,Image 1,3,1001114914,1128953
40904,,Spot,1,Image 1,3,1001114932,1128969
32376,,Spot,1,Image 1,3,1001128992,1128992
32636,,Spot,1,Image 1,3,1001114970,1128994
43712,,Spot,1,Image 1,3,1001114996,1129023
24572,,Spot,1,Image 1,4,1001108722,1130055
39804,,Spot,1,Image 1,4,1001108915,1130235
33568,,Spot,1,Image 1,4,1001130236,1130236
36236,,Spot,1,Image 1,4,1001108958,1130280
32132,,Spot,1,Image 1,4,1001109002,1130319
34804,,Spot,1,Image 1,4,1001109104,1130395
26536,,Spot,1,Image 1,4,1001109146,1130441
28856,,Spot,1,Image 1,4,1001109241,1130535
31024,,Spot,1,Image 1,4,1001109298,1130596
20864,,Spot,1,Image 1,4,1001130700,1130700
27636,,Spot,1,Image 1,4,1001109419,1130701
33376,,Spot,1,Image 1,4,1001109441,1130731
25276,,Spot,1,Image 1,4,1001109487,1130782
29448,,Spot,1,Image 1,4,1001109538,1130830
26576,,Spot,1,Image 1,4,1001116942,1131004
25584,,Spot,1,Image 1,4,1001110105,1131354
30932,,Spot,1,Image 1,4,1001111580,1132881
33200,,Spot,1,Image 1,4,1001112749,1134092
30276,,Spot,1,Image 1,4,1001113839,1135205
37948,,Spot,1,Image 1,4,1001113852,1135218
30656,,Spot,1,Image 1,4,1001113875,1135248
33524,,Spot,1,Image 1,4,1001113891,1135253
31668,,Spot,1,Image 1,4,1001113909,1135280
34380,,Spot,1,Image 1,4,1001113935,1135311
32196,,Spot,1,Image 1,4,1001113998,1135380
29400,,Spot,1,Image 1,4,1001128123,1135415
31576,,Spot,1,Image 1,4,1001114033,1135420
33912,,Spot,1,Image 1,4,1001114155,1135541
40792,,Spot,1,Image 1,4,1001114212,1135596
26024,,Spot,1,Image 1,4,1001114228,1135605
45504,,Spot,1,Image 1,4,1001114996,1135610
33940,,Spot,1,Image 1,4,1001121359,1135628
26360,,Spot,1,Image 1,4,1001135639,1135639
